,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
_2000_Isaiah Rider,3.4851875171864077,-0.16627721033949427,0.01667443952765102,0.07738002944462094,0.7914325405184844,-0.606250764043959,0.26954688733532295,0.4881150713236398,-0.1454637250153728,-0.4324731723090587,0.5702863119145234,0.8612288826042023,-0.07421746974786506
_2000_Keith Van Horn,4.31909321038758,0.845638309808348,-0.3139807537267528,-0.33704376558152255,0.4515962610153428,-0.36442981980284594,0.4905513503940175,0.4705816030895128,-0.6819108898138108,-0.6861742603788763,0.7521798387352125,1.1131903360219713,-0.1070087757170561
_2000_Shawn Kemp,4.360206450333009,1.6950576655926417,0.2719540484124586,0.1059400139362701,0.4083852740622794,-0.4594454653044641,0.3475811537543014,-0.06705089783479684,-1.1188362699732555,-0.04607112200027413,0.9897392113796004,1.4203414183480414,-0.17224948630021034
_2000_Anthony Peeler,2.6687599284104695,-0.3593662943334416,-0.9793831084092707,0.3043380403758146,0.3314882239355623,-0.6631675961436092,0.4760286700675553,0.5569955722345236,-0.3966813782294123,-0.6724840457095864,0.5182887636650688,0.8539945936634536,-0.37014092848547103
_2000_Sam Cassell,4.4403458917193435,0.005396348640889883,0.26728941219157426,1.3532890602023984,0.22860519304949545,-0.8702941987036927,0.5240449077104146,0.6403548325408395,-0.6756281473052714,-0.4849496218341562,0.6090011980014076,1.022436968113936,-0.0120108989908052
_2000_Latrell Sprewell,4.07005571764916,-0.046101038386294126,-0.3937736664046256,0.6636396545741327,0.34990962799633174,-0.8460325862861201,-0.13362158133362878,0.5227358661038698,-0.3185687364569115,-0.15971467507474335,0.6391948126195278,0.9758547755959268,-0.2334567379980124
_2000_Clifford Robinson,3.999997356635823,-0.10507556649066103,-1.040631208640632,0.28626158891015974,0.7290857038645157,-0.7288347180834075,0.5458954376113478,0.2263634112522242,-0.1866179806559413,-0.30322561886026317,0.6159936830699813,1.0701434369374485,-0.278023347206019
_2000_Michael Dickerson,3.8428397016100844,-0.3875710826592084,-0.49207530659513055,-0.3788990149132693,0.051287816368357414,-0.8514776350802811,0.5118917188133344,0.5485164531288438,-0.09853254731507802,-0.2932099386406277,0.632503237981724,1.040462153383188,-0.5165440422639033
_2000_Jalen Rose,4.007414619185185,-0.040731221808944465,-0.806150344907543,0.5793053126207427,0.5322166231087758,-0.7186517466204734,0.38212160625391445,0.5212748703980915,-0.3479587987908427,-0.2688267067375351,0.5731273984202587,1.0054890372874266,-0.033403189116689394
_2000_Avery Johnson,2.985613801938674,-0.08008355649984848,-0.41098552274559985,1.5624155702566325,0.06184183539596507,-0.9665890157246135,0.07392125193259425,0.7266462791046171,-0.20929719458804813,-0.4511781355174177,0.3407377658622138,0.5392992018495839,-0.08003259842511826
_2000_Reggie Miller,3.8805593983813895,-0.7393964534205487,-1.2775309999881193,0.14738468175074926,0.9145509871161464,-0.9172171416852745,0.4382934235941441,0.4728324747096812,-0.21471283876266078,-0.4592052122506351,0.39846321635292686,1.0419143756266236,-0.394547058116727
_2000_Steve Francis,4.376919076597529,-0.10431775788304327,0.007513637116190269,0.5154267146247427,0.17285078478028515,-0.44174030473033793,0.9922191701178427,0.3039612691834023,-0.28630952164545104,-0.7796619581985481,0.830575543844315,1.179919798218338,-0.273669886727558
_2000_Rik Smits,2.910517713969159,1.2348407805457196,-0.5453514062916486,0.3079668376170644,0.8049956998777952,-0.9583674044434489,0.162644244194489,0.25223526552987646,-0.47018447513363676,-0.41699714750876626,0.45991060632384584,0.8163366360630869,0.1205708583342779
_2000_Baron Davis,2.367457259353662,-0.06822660912811619,-0.3149925531824511,1.3613610056392054,0.05924295366163733,-0.5659532456577097,0.6957296202612137,0.055410546641141846,-0.44527478046823393,-0.4604709441761603,0.882118207412315,1.0533491131187613,-0.46850192896349035
_2000_Cedric Ceballos,3.3738217922456277,0.7101594505346145,-0.39989000373145245,-0.14669152030095417,0.7810334830704765,-0.5590030199724262,0.4005400638047004,0.5236524648676162,-0.7248658691045464,-0.3679601270688305,0.3898002592093821,0.8971100900989254,-0.35349361507716137
